season,player,team,matches,minutes,goals,goals_per_match,minutes_per_goal
2025,Atlético_Player24,Atlético Madrid,25,1800,4,0.16,450.0
2025,Atlético_Player25,Atlético Madrid,0,0,0,0.0,0.0
2025,Girona_Player1,Girona,5,450,3,0.6,150.0
2025,Girona_Player2,Girona,36,2988,15,0.4166666666666667,199.2
2025,Girona_Player3,Girona,13,1066,3,0.23076923076923078,355.3333333333333
2025,Girona_Player4,Girona,31,1333,11,0.3548387096774194,121.18181818181819
2025,Girona_Player5,Girona,22,1936,12,0.5454545454545454,161.33333333333334
2025,Girona_Player6,Girona,14,546,6,0.42857142857142855,91.0
2025,Girona_Player7,Girona,23,1794,6,0.2608695652173913,299.0
2025,Girona_Player8,Girona,15,1260,3,0.2,420.0
2025,Girona_Player9,Girona,2,152,0,0.0,152.0
2025,Girona_Player10,Girona,31,1829,8,0.25806451612903225,228.625
2025,Girona_Player11,Girona,33,1914,8,0.24242424242424243,239.25
2025,Girona_Player12,Girona,25,1125,8,0.32,140.625
2025,Girona_Player13,Girona,25,575,5,0.2,115.0
2025,Girona_Player14,Girona,17,799,4,0.23529411764705882,199.75
2025,Girona_Player15,Girona,16,848,5,0.3125,169.6
2025,Girona_Player16,Girona,35,1505,11,0.3142857142857143,136.8181818181818
2025,Girona_Player17,Girona,18,918,7,0.3888888888888889,131.14285714285714
2025,Girona_Player18,Girona,21,630,3,0.14285714285714285,210.0
2025,Girona_Player19,Girona,29,957,10,0.3448275862068966,95.7
2025,Girona_Player20,Girona,37,2220,11,0.2972972972972973,201.8181818181818
2025,Girona_Player21,Girona,4,316,2,0.5,158.0
2025,Girona_Player22,Girona,19,399,4,0.21052631578947367,99.75
2025,Girona_Player23,Girona,35,3010,11,0.3142857142857143,273.6363636363636
2025,Girona_Player24,Girona,9,126,0,0.0,126.0
2025,Girona_Player25,Girona,1,22,0,0.0,22.0
2025,Athletic_Player1,Athletic Club,19,1406,1,0.05263157894736842,1406.0
2025,Athletic_Player2,Athletic Club,8,672,3,0.375,224.0
2025,Athletic_Player3,Athletic Club,4,284,2,0.5,142.0
2025,Athletic_Player4,Athletic Club,10,180,4,0.4,45.0
2025,Athletic_Player5,Athletic Club,28,2268,15,0.5357142857142857,151.2
2025,Athletic_Player6,Athletic Club,14,476,3,0.21428571428571427,158.66666666666666
2025,Athletic_Player7,Athletic Club,5,75,2,0.4,37.5
2025,Athletic_Player8,Athletic Club,14,532,7,0.5,76.0
2025,Athletic_Player9,Athletic Club,3,225,2,0.6666666666666666,112.5
2025,Athletic_Player10,Athletic Club,37,814,7,0.1891891891891892,116.28571428571429
2025,Athletic_Player11,Athletic Club,28,476,9,0.32142857142857145,52.888888888888886
2025,Athletic_Player12,Athletic Club,9,423,2,0.2222222222222222,211.5
2025,Athletic_Player13,Athletic Club,11,242,1,0.09090909090909091,242.0
2025,Athletic_Player14,Athletic Club,32,2208,8,0.25,276.0
2025,Athletic_Player15,Athletic Club,28,2436,12,0.42857142857142855,203.0
2025,Athletic_Player16,Athletic Club,8,664,1,0.125,664.0
2025,Athletic_Player17,Athletic Club,34,2448,9,0.2647058823529412,272.0
2025,Athletic_Player18,Athletic Club,37,407,11,0.2972972972972973,37.0
2025,Athletic_Player19,Athletic Club,26,676,6,0.23076923076923078,112.66666666666667
2025,Athletic_Player20,Athletic Club,32,1856,11,0.34375,168.72727272727272
2025,Athletic_Player21,Athletic Club,31,682,13,0.41935483870967744,52.46153846153846
2025,Athletic_Player22,Athletic Club,29,1363,8,0.27586206896551724,170.375
2025,Athletic_Player23,Athletic Club,27,1107,6,0.2222222222222222,184.5
2025,Athletic_Player24,Athletic Club,36,2736,15,0.4166666666666667,182.4
2025,Athletic_Player25,Athletic Club,7,301,6,0.8571428571428571,50.166666666666664
2025,Real_Player1,Real Sociedad,13,832,1,0.07692307692307693,832.0
2025,Real_Player2,Real Sociedad,6,252,1,0.16666666666666666,252.0
2025,Real_Player3,Real Sociedad,18,810,7,0.3888888888888889,115.71428571428571
2025,Real_Player4,Real Sociedad,19,266,7,0.3684210526315789,38.0
2025,Real_Player5,Real Sociedad,29,1972,7,0.2413793103448276,281.7142857142857
2025,Real_Player6,Real Sociedad,21,273,8,0.38095238095238093,34.125
2025,Real_Player7,Real Sociedad,36,1224,11,0.3055555555555556,111.27272727272727
2025,Real_Player8,Real Sociedad,21,1974,8,0.38095238095238093,246.75
2025,Real_Player9,Real Sociedad,1,63,0,0.0,63.0
2025,Real_Player10,Real Sociedad,35,1225,10,0.2857142857142857,122.5
2025,Real_Player11,Real Sociedad,34,2142,10,0.29411764705882354,214.2
2025,Real_Player12,Real Sociedad,21,1638,7,0.3333333333333333,234.0
2025,Real_Player13,Real Sociedad,8,280,2,0.25,140.0
2025,Real_Player14,Real Sociedad,0,0,0,0.0,0.0
2025,Real_Player15,Real Sociedad,24,1152,2,0.08333333333333333,576.0
2025,Real_Player16,Real Sociedad,29,609,8,0.27586206896551724,76.125
2025,Real_Player17,Real Sociedad,7,210,7,1.0,30.0
2025,Real_Player18,Real Sociedad,25,1400,6,0.24,233.33333333333334
2025,Real_Player19,Real Sociedad,6,108,1,0.16666666666666666,108.0
2025,Real_Player20,Real Sociedad,22,2002,7,0.3181818181818182,286.0
2025,Real_Player21,Real Sociedad,33,396,11,0.3333333333333333,36.0
2025,Real_Player22,Real Sociedad,34,1734,7,0.20588235294117646,247.71428571428572
2025,Real_Player23,Real Sociedad,31,1488,2,0.06451612903225806,744.0
2025,Real_Player24,Real Sociedad,15,975,2,0.13333333333333333,487.5
2025,Real_Player25,Real Sociedad,19,266,1,0.05263157894736842,266.0
2025,Real_Player1,Real Betis,13,507,5,0.38461538461538464,101.4
2025,Real_Player2,Real Betis,14,812,4,0.2857142857142857,203.0
2025,Real_Player3,Real Betis,5,240,4,0.8,60.0
2025,Real_Player4,Real Betis,3,204,0,0.0,204.0
2025,Real_Player5,Real Betis,28,2016,5,0.17857142857142858,403.2
2025,Real_Player6,Real Betis,2,30,1,0.5,30.0
2025,Real_Player7,Real Betis,22,1276,11,0.5,116.0
2025,Real_Player8,Real Betis,3,69,1,0.3333333333333333,69.0
2025,Real_Player9,Real Betis,2,76,4,2.0,19.0
2025,Real_Player10,Real Betis,4,80,0,0.0,80.0
2025,Real_Player11,Real Betis,23,2024,2,0.08695652173913043,1012.0
2025,Real_Player12,Real Betis,17,1343,4,0.23529411764705882,335.75
2025,Real_Player13,Real Betis,31,2201,20,0.6451612903225806,110.05
2025,Real_Player14,Real Betis,22,1122,7,0.3181818181818182,160.28571428571428
2025,Real_Player15,Real Betis,31,682,14,0.45161290322580644,48.714285714285715
2025,Real_Player16,Real Betis,3,87,1,0.3333333333333333,87.0
2025,Real_Player17,Real Betis,26,1898,5,0.19230769230769232,379.6
2025,Real_Player18,Real Betis,13,949,5,0.38461538461538464,189.8
2025,Real_Player19,Real Betis,32,480,4,0.125,120.0
2025,Real_Player20,Real Betis,33,1254,12,0.36363636363636365,104.5
2025,Real_Player21,Real Betis,28,840,15,0.5357142857142857,56.0
2025,Real_Player22,Real Betis,24,624,4,0.16666666666666666,156.0
2025,Real_Player23,Real Betis,28,2044,5,0.17857142857142858,408.8
2025,Real_Player24,Real Betis,6,156,1,0.16666666666666666,156.0
2025,Real_Player25,Real Betis,8,376,1,0.125,376.0
2025,Villarreal_Player1,Villarreal,21,231,3,0.14285714285714285,77.0
2025,Villarreal_Player2,Villarreal,17,1241,10,0.5882352941176471,124.1
2025,Villarreal_Player3,Villarreal,31,2728,7,0.22580645161290322,389.7142857142857
2025,Villarreal_Player4,Villarreal,12,468,1,0.08333333333333333,468.0
2025,Villarreal_Player5,Villarreal,21,1575,7,0.3333333333333333,225.0
2025,Villarreal_Player6,Villarreal,5,90,1,0.2,90.0
2025,Villarreal_Player7,Villarreal,31,1550,14,0.45161290322580644,110.71428571428571
2025,Villarreal_Player8,Villarreal,11,231,2,0.18181818181818182,115.5
2025,Villarreal_Player9,Villarreal,35,1890,7,0.2,270.0
2025,Villarreal_Player10,Villarreal,31,1860,6,0.1935483870967742,310.0
2025,Villarreal_Player11,Villarreal,34,2380,4,0.11764705882352941,595.0
2025,Villarreal_Player12,Villarreal,32,512,13,0.40625,39.38461538461539
2025,Villarreal_Player13,Villarreal,1,88,1,1.0,88.0
2025,Villarreal_Player14,Villarreal,11,132,4,0.36363636363636365,33.0
2025,Villarreal_Player15,Villarreal,29,1479,11,0.3793103448275862,134.45454545454547
2025,Villarreal_Player16,Villarreal,24,888,7,0.2916666666666667,126.85714285714286
2025,Villarreal_Player17,Villarreal,2,46,0,0.0,46.0
2025,Villarreal_Player18,Villarreal,28,532,9,0.32142857142857145,59.111111111111114
2025,Villarreal_Player19,Villarreal,11,506,6,0.5454545454545454,84.33333333333333
2025,Villarreal_Player20,Villarreal,13,143,2,0.15384615384615385,71.5
2025,Villarreal_Player21,Villarreal,0,0,0,0.0,0.0
2025,Villarreal_Player22,Villarreal,5,340,1,0.2,340.0
2025,Villarreal_Player23,Villarreal,13,273,3,0.23076923076923078,91.0
2025,Villarreal_Player24,Villarreal,33,1947,8,0.24242424242424243,243.375
2025,Villarreal_Player25,Villarreal,7,658,0,0.0,658.0
2025,Valencia_Player1,Valencia,7,266,2,0.2857142857142857,133.0
2025,Valencia_Player2,Valencia,33,2442,14,0.42424242424242425,174.42857142857142
2025,Valencia_Player3,Valencia,25,1775,11,0.44,161.36363636363637
2025,Valencia_Player4,Valencia,37,1036,14,0.3783783783783784,74.0
2025,Valencia_Player5,Valencia,22,2024,9,0.4090909090909091,224.88888888888889
2025,Valencia_Player6,Valencia,32,1856,8,0.25,232.0
2025,Valencia_Player7,Valencia,7,399,3,0.42857142857142855,133.0
2025,Valencia_Player8,Valencia,4,228,2,0.5,114.0
2025,Valencia_Player9,Valencia,22,1738,10,0.45454545454545453,173.8
2025,Valencia_Player10,Valencia,12,336,2,0.16666666666666666,168.0
2025,Valencia_Player11,Valencia,26,988,8,0.3076923076923077,123.5
2025,Valencia_Player12,Valencia,30,2490,9,0.3,276.6666666666667
2025,Valencia_Player13,Valencia,12,372,4,0.3333333333333333,93.0
2025,Valencia_Player14,Valencia,7,231,1,0.14285714285714285,231.0
2025,Valencia_Player15,Valencia,36,2772,10,0.2777777777777778,277.2
2025,Valencia_Player16,Valencia,17,476,6,0.35294117647058826,79.33333333333333
2025,Valencia_Player17,Valencia,16,496,3,0.1875,165.33333333333334
2025,Valencia_Player18,Valencia,9,738,4,0.4444444444444444,184.5
2025,Valencia_Player19,Valencia,20,540,6,0.3,90.0
2025,Valencia_Player20,Valencia,25,1275,11,0.44,115.9090909090909
2025,Valencia_Player21,Valencia,26,1066,12,0.46153846153846156,88.83333333333333
2025,Valencia_Player22,Valencia,35,2730,7,0.2,390.0
2025,Valencia_Player23,Valencia,15,1065,2,0.13333333333333333,532.5
2025,Valencia_Player24,Valencia,15,315,5,0.3333333333333333,63.0
2025,Valencia_Player25,Valencia,19,1406,5,0.2631578947368421,281.2
2025,Sevilla_Player1,Sevilla,15,1275,3,0.2,425.0
2025,Sevilla_Player2,Sevilla,1,94,0,0.0,94.0
2025,Sevilla_Player3,Sevilla,8,592,2,0.25,296.0
2025,Sevilla_Player4,Sevilla,3,273,2,0.6666666666666666,136.5
2025,Sevilla_Player5,Sevilla,21,1449,10,0.47619047619047616,144.9
2025,Sevilla_Player6,Sevilla,8,192,1,0.125,192.0
2025,Sevilla_Player7,Sevilla,1,44,0,0.0,44.0
2025,Sevilla_Player8,Sevilla,19,1729,8,0.42105263157894735,216.125
2025,Sevilla_Player9,Sevilla,2,100,2,1.0,50.0
2025,Sevilla_Player10,Sevilla,20,1540,7,0.35,220.0
2025,Sevilla_Player11,Sevilla,5,205,0,0.0,205.0
2025,Sevilla_Player12,Sevilla,1,69,0,0.0,69.0
2025,Sevilla_Player13,Sevilla,30,420,8,0.26666666666666666,52.5
2025,Sevilla_Player14,Sevilla,8,296,1,0.125,296.0
2025,Sevilla_Player15,Sevilla,15,375,5,0.3333333333333333,75.0
2025,Sevilla_Player16,Sevilla,35,1645,10,0.2857142857142857,164.5
2025,Sevilla_Player17,Sevilla,34,544,10,0.29411764705882354,54.4
2025,Sevilla_Player18,Sevilla,6,84,0,0.0,84.0
2025,Sevilla_Player19,Sevilla,1,71,0,0.0,71.0
2025,Sevilla_Player20,Sevilla,37,3256,12,0.32432432432432434,271.3333333333333
2025,Sevilla_Player21,Sevilla,4,296,1,0.25,296.0
2025,Sevilla_Player22,Sevilla,20,1240,7,0.35,177.14285714285714
2025,Sevilla_Player23,Sevilla,25,1925,9,0.36,213.88888888888889
2025,Sevilla_Player24,Sevilla,8,400,2,0.25,200.0
2025,Sevilla_Player25,Sevilla,9,603,4,0.4444444444444444,150.75
2025,Getafe_Player1,Getafe,21,1701,7,0.3333333333333333,243.0
2025,Getafe_Player2,Getafe,7,364,2,0.2857142857142857,182.0
2025,Getafe_Player3,Getafe,16,224,9,0.5625,24.88888888888889
2025,Getafe_Player4,Getafe,31,527,6,0.1935483870967742,87.83333333333333
2025,Getafe_Player5,Getafe,1,88,0,0.0,88.0
2025,Getafe_Player6,Getafe,35,2695,13,0.37142857142857144,207.30769230769232
2025,Getafe_Player7,Getafe,9,270,1,0.1111111111111111,270.0
2025,Getafe_Player8,Getafe,1,22,0,0.0,22.0
2025,Getafe_Player9,Getafe,30,750,11,0.36666666666666664,68.18181818181819
2025,Getafe_Player10,Getafe,20,1060,10,0.5,106.0
2025,Getafe_Player11,Getafe,7,385,3,0.42857142857142855,128.33333333333334
2025,Getafe_Player12,Getafe,21,651,4,0.19047619047619047,162.75
2025,Getafe_Player13,Getafe,14,854,7,0.5,122.0
2025,Getafe_Player14,Getafe,18,576,6,0.3333333333333333,96.0
2025,Getafe_Player15,Getafe,0,0,0,0.0,0.0
2025,Getafe_Player16,Getafe,2,148,0,0.0,148.0
2025,Getafe_Player17,Getafe,34,2482,13,0.38235294117647056,190.92307692307693
2025,Getafe_Player18,Getafe,9,270,3,0.3333333333333333,90.0
2025,Getafe_Player19,Getafe,12,216,1,0.08333333333333333,216.0
2025,Getafe_Player20,Getafe,25,1675,6,0.24,279.1666666666667
2025,Getafe_Player21,Getafe,5,325,1,0.2,325.0
2025,Getafe_Player22,Getafe,3,87,1,0.3333333333333333,87.0
2025,Getafe_Player23,Getafe,25,1150,2,0.08,575.0
2025,Getafe_Player24,Getafe,9,423,1,0.1111111111111111,423.0
2025,Getafe_Player25,Getafe,19,494,6,0.3157894736842105,82.33333333333333
2025,Osasuna_Player1,Osasuna,23,989,5,0.21739130434782608,197.8
2025,Osasuna_Player2,Osasuna,23,1955,8,0.34782608695652173,244.375
2025,Osasuna_Player3,Osasuna,27,1512,12,0.4444444444444444,126.0
2025,Osasuna_Player4,Osasuna,9,531,3,0.3333333333333333,177.0
2025,Osasuna_Player5,Osasuna,5,450,2,0.4,225.0
2025,Osasuna_Player6,Osasuna,34,1870,7,0.20588235294117646,267.14285714285717
2025,Osasuna_Player7,Osasuna,36,3348,14,0.3888888888888889,239.14285714285714
2025,Osasuna_Player8,Osasuna,4,316,1,0.25,316.0
2025,Osasuna_Player9,Osasuna,34,340,13,0.38235294117647056,26.153846153846153
2025,Osasuna_Player10,Osasuna,30,2790,6,0.2,465.0
2025,Osasuna_Player11,Osasuna,27,621,7,0.25925925925925924,88.71428571428571
2025,Osasuna_Player12,Osasuna,19,1729,6,0.3157894736842105,288.1666666666667
2025,Osasuna_Player13,Osasuna,10,290,2,0.2,145.0
2025,Osasuna_Player14,Osasuna,25,575,10,0.4,57.5
2025,Osasuna_Player15,Osasuna,3,240,1,0.3333333333333333,240.0
2025,Osasuna_Player16,Osasuna,23,1610,9,0.391304347826087,178.88888888888889
2025,Osasuna_Player17,Osasuna,21,1386,6,0.2857142857142857,231.0
2025,Osasuna_Player18,Osasuna,9,657,4,0.4444444444444444,164.25
2025,Osasuna_Player19,Osasuna,3,72,0,0.0,72.0
2025,Osasuna_Player20,Osasuna,20,1760,6,0.3,293.3333333333333
2025,Osasuna_Player21,Osasuna,24,288,10,0.4166666666666667,28.8
2025,Osasuna_Player22,Osasuna,23,1150,12,0.5217391304347826,95.83333333333333
2025,Osasuna_Player23,Osasuna,37,1554,12,0.32432432432432434,129.5
2025,Osasuna_Player24,Osasuna,7,287,1,0.14285714285714285,287.0
2025,Osasuna_Player25,Osasuna,3,237,2,0.6666666666666666,118.5
2025,Las_Player1,Las Palmas,10,550,3,0.3,183.33333333333334
2025,Las_Player2,Las Palmas,29,638,7,0.2413793103448276,91.14285714285714
2025,Las_Player3,Las Palmas,19,817,6,0.3157894736842105,136.16666666666666
2025,Las_Player4,Las Palmas,10,750,5,0.5,150.0
2025,Las_Player5,Las Palmas,25,750,6,0.24,125.0
2025,Las_Player6,Las Palmas,10,660,5,0.5,132.0
2025,Las_Player7,Las Palmas,32,2976,4,0.125,744.0
2025,Las_Player8,Las Palmas,5,410,2,0.4,205.0
2025,Las_Player9,Las Palmas,2,26,1,0.5,26.0
2025,Las_Player10,Las Palmas,14,1008,4,0.2857142857142857,252.0
2025,Las_Player11,Las Palmas,16,768,5,0.3125,153.6
2025,Las_Player12,Las Palmas,26,1430,7,0.2692307692307692,204.28571428571428
2025,Las_Player13,Las Palmas,23,529,7,0.30434782608695654,75.57142857142857
2025,Las_Player14,Las Palmas,6,522,3,0.5,174.0
2025,Las_Player15,Las Palmas,13,611,1,0.07692307692307693,611.0
2025,Las_Player16,Las Palmas,16,624,2,0.125,312.0
2025,Las_Player17,Las Palmas,13,1092,1,0.07692307692307693,1092.0
2025,Las_Player18,Las Palmas,13,650,4,0.3076923076923077,162.5
2025,Las_Player19,Las Palmas,15,1065,5,0.3333333333333333,213.0
2025,Las_Player20,Las Palmas,4,228,2,0.5,114.0
2025,Las_Player21,Las Palmas,8,560,0,0.0,560.0
2025,Las_Player22,Las Palmas,34,3060,10,0.29411764705882354,306.0
2025,Las_Player23,Las Palmas,18,630,6,0.3333333333333333,105.0
2025,Las_Player24,Las Palmas,27,999,10,0.37037037037037035,99.9
2025,Las_Player25,Las Palmas,11,165,1,0.09090909090909091,165.0
2025,Almería_Player1,Almería,0,0,0,0.0,0.0
2025,Almería_Player2,Almería,28,1372,10,0.35714285714285715,137.2
2025,Almería_Player3,Almería,8,368,4,0.5,92.0
2025,Almería_Player4,Almería,12,876,3,0.25,292.0
2025,Almería_Player5,Almería,0,0,0,0.0,0.0
2025,Almería_Player6,Almería,18,1530,9,0.5,170.0
2025,Almería_Player7,Almería,29,1624,7,0.2413793103448276,232.0
2025,Almería_Player8,Almería,27,1323,7,0.25925925925925924,189.0
2025,Almería_Player9,Almería,10,860,0,0.0,860.0
2025,Almería_Player10,Almería,17,1020,6,0.35294117647058826,170.0
2025,Almería_Player11,Almería,15,735,5,0.3333333333333333,147.0
2025,Almería_Player12,Almería,36,3384,14,0.3888888888888889,241.71428571428572
2025,Almería_Player13,Almería,24,768,5,0.20833333333333334,153.6
2025,Almería_Player14,Almería,8,496,3,0.375,165.33333333333334
2025,Almería_Player15,Almería,2,74,1,0.5,74.0
2025,Almería_Player16,Almería,22,1848,8,0.36363636363636365,231.0
2025,Almería_Player17,Almería,0,0,0,0.0,0.0
2025,Almería_Player18,Almería,19,532,4,0.21052631578947367,133.0
2025,Almería_Player19,Almería,10,580,2,0.2,290.0
2025,Almería_Player20,Almería,11,814,1,0.09090909090909091,814.0
2025,Almería_Player21,Almería,4,156,0,0.0,156.0
2025,Almería_Player22,Almería,2,168,0,0.0,168.0
2025,Almería_Player23,Almería,25,900,7,0.28,128.57142857142858
2025,Almería_Player24,Almería,36,1836,9,0.25,204.0
2025,Almería_Player25,Almería,5,385,2,0.4,192.5
2025,Granada_Player1,Granada,16,496,6,0.375,82.66666666666667
2025,Granada_Player2,Granada,33,1353,12,0.36363636363636365,112.75
2025,Granada_Player3,Granada,16,1456,5,0.3125,291.2
2025,Granada_Player4,Granada,16,720,5,0.3125,144.0
2025,Granada_Player5,Granada,20,400,4,0.2,100.0
2025,Granada_Player6,Granada,5,130,2,0.4,65.0
2025,Granada_Player7,Granada,31,2449,14,0.45161290322580644,174.92857142857142
2025,Granada_Player8,Granada,34,1938,8,0.23529411764705882,242.25
2025,Granada_Player9,Granada,37,2812,11,0.2972972972972973,255.63636363636363
2025,Granada_Player10,Granada,30,2670,13,0.43333333333333335,205.3846153846154
2025,Granada_Player11,Granada,25,2000,1,0.04,2000.0
2025,Granada_Player12,Granada,35,1190,12,0.34285714285714286,99.16666666666667
2025,Granada_Player13,Granada,12,204,5,0.4166666666666667,40.8
2025,Granada_Player14,Granada,8,344,0,0.0,344.0
2025,Granada_Player15,Granada,3,117,0,0.0,117.0
2025,Granada_Player16,Granada,10,810,3,0.3,270.0
2025,Granada_Player17,Granada,18,450,5,0.2777777777777778,90.0
2025,Granada_Player18,Granada,25,550,7,0.28,78.57142857142857
2025,Granada_Player19,Granada,0,0,0,0.0,0.0
2025,Granada_Player20,Granada,29,1798,7,0.2413793103448276,256.85714285714283
2025,Granada_Player21,Granada,35,2835,11,0.3142857142857143,257.72727272727275
2025,Granada_Player22,Granada,13,767,5,0.38461538461538464,153.4
2025,Granada_Player23,Granada,22,374,5,0.22727272727272727,74.8
2025,Granada_Player24,Granada,11,638,1,0.09090909090909091,638.0
2025,Granada_Player25,Granada,28,980,11,0.39285714285714285,89.0909090909091
2025,Mallorca_Player1,Mallorca,33,1749,13,0.3939393939393939,134.53846153846155
2025,Mallorca_Player2,Mallorca,20,600,6,0.3,100.0
2025,Mallorca_Player3,Mallorca,19,1748,7,0.3684210526315789,249.71428571428572
2025,Mallorca_Player4,Mallorca,13,1040,6,0.46153846153846156,173.33333333333334
2025,Mallorca_Player5,Mallorca,21,1134,3,0.14285714285714285,378.0
2025,Mallorca_Player6,Mallorca,2,74,1,0.5,74.0
2025,Mallorca_Player7,Mallorca,27,1701,5,0.18518518518518517,340.2
2025,Mallorca_Player8,Mallorca,9,558,2,0.2222222222222222,279.0
2025,Mallorca_Player9,Mallorca,36,1188,18,0.5,66.0
2025,Mallorca_Player10,Mallorca,2,52,1,0.5,52.0
2025,Mallorca_Player11,Mallorca,28,1456,7,0.25,208.0
